,std,mean
,CONSO_JOURNALIERE,CONSO_JOURNALIERE
SITE_NAME,,
,15.038896477891166,14.804545454545455
0001BB,23.847284537907726,24.847142857142856
0001BR,21.139377080731226,22.43885714285714
0001KO,20.574752342363194,22.52114285714286
0002BB,23.378151032840165,24.35885714285714
0002BR,20.990938012758317,22.005142857142857
0002KO,21.68337490011238,22.4
0003BB,21.544262286720137,22.425142857142855
0003BR,21.3654856833959,22.66257142857143
0003KO,23.104649787828027,43.72727272727273
0004BB,118.76954767899478,119.21111111111112
0004BR,20.358550442859475,21.43942857142857
0004KO,20.84148334613511,21.80314285714286
0005KO,29.39271844575759,29.0065
0006BB,21.948163951463822,23.06142857142857
0006BR,25.05673378870228,25.6835
0007BB,16.120499726390978,16.419428571428572
0007BR,22.305282055222378,24.654285714285713
0007KO,33.74170648268455,65.00818181818182
0008BB,32.71390483241122,33.12708333333333
0008BR,207.22470219546705,191.91
0008KO,23.082509468455648,23.74514285714286
0009BB,23.303781739480492,24.280857142857144
0009BR,50.662770354571016,57.42
0009KO,29.438693399859126,50.66909090909091
0010BB,24.455195979999182,25.49685714285714
0010BR,21.146437397865597,22.599714285714285
0010KO,22.328840595806607,22.907999999999998
0011BB,18.62116150508124,17.370285714285714
0011BR,22.249293377505712,23.529714285714284
0011KO,18.6050309135491,19.328
0012BB,12.902734496183031,13.166857142857143
0012BR,22.449863064095485,23.821142857142856
0012KO,17.261120434533275,18.134857142857143
0013BB,27.25423141458955,88.86600000000001
0013BR,25.446624388572822,25.356857142857145
0013KO,4.652762620207482,51.47
0014BR,3.040559159102147,85.34
0014KO,21.07744274747554,20.013142857142856
0015BB,22.672951096594627,23.713428571428572
0015BR,1.5344217151748067,59.644999999999996
0015KO,36.982345401942425,36.121428571428574
0016BB,16.753394500002894,29.665454545454544
0016BR,23.52227572166542,25.525142857142857
0016KO,18.582760430304322,19.788285714285717
0017BB,22.098036788727782,22.757714285714286
0017BR,18.003079115725143,21.418
0017KO,18.270776790761115,19.044857142857143
0018BB,25.05679508300958,26.597142857142856
0018BR,24.02082226288005,24.789142857142856
0018KO,19.851074492011634,20.800571428571427
0019BB,15.585944120188776,16.366000000000003
0019BR,34.94633313531969,34.332173913043476
0019KO,18.56591490615319,19.139142857142858
0020BB,21.24158408927754,22.347714285714286
0020BR,19.755123031941107,21.584411764705884
0020KO,24.886101696470238,25.548000000000002
0021BB,9.653987687006316,9.75
0021BR,19.101066721939024,17.739714285714285
0021KO,23.67684559460834,24.266571428571428
0022BB,7.6454702027964725,7.739714285714285
0022BR,21.217260640234176,22.044571428571427
0022KO,14.397384146160052,14.740571428571428
0023BB,8.132305202042017,8.330571428571428
0023BR,24.221540278136278,25.295714285714286
0023KO,13.152201100253624,14.256571428571428
0024BB,4.843681451127846,123.435
0024BR,17.18073104753494,17.825714285714284
0024KO,11.38699500955338,11.778529411764707
0025BB,9.494894098913363,9.795142857142856
0025BR,23.698016220205208,25.160857142857143
0025KO,21.59553226437155,22.827428571428573
0026BB,24.927547769278497,22.834705882352942
0026BR,21.482644208404,22.564857142857143
0026KO,23.708426273450467,45.25818181818182
0027BR,25.76522132480073,23.066285714285716
0027KO,18.318375019672036,20.06114285714286
0028BB,5.359869401394029,32.15
0028KO,23.63436942571687,23.696285714285715
0029BB,24.324848750253086,24.904571428571426
0029BR,28.47082872937754,28.996086956521737
0029KO,16.787574676808195,17.988
0030BB,27.593040171071273,28.624000000000002
0030BR,20.189644862252177,21.31142857142857
0030KO,23.914865420805487,40.815000000000005
0031BB,22.925298454844537,23.897142857142857
0031BR,37.66866115663435,67.685
0031KO,16.66665105769577,19.37314285714286
0032BB,10.026774157225246,61.239999999999995
0032BR,23.82210223632631,24.85542857142857
0032KO,18.195277173722072,19.776571428571426
0033BB,21.85216421795341,22.643142857142855
0033BR,21.82705904116619,22.877714285714287
0033KO,17.34651305381143,19.212857142857143
0034BB,11.327850634608494,97.00999999999999
0034BR,22.935672905369557,23.344117647058823
0034KO,129.83571283120278,137.4602857142857
0035BB,22.436498167049162,99.565
0035BR,27.40366692324836,28.495428571428572
0035KO,20.895578869763842,21.638857142857145
0036BB,21.863061811656276,19.75030303030303
0036BR,16.059529472894162,16.951142857142855
0036KO,21.79186043403524,22.532
0037BB,5.0416713498600805,139.035
0037BR,39.24584793325276,69.76599999999999
0037KO,16.104709593545515,16.923714285714286
0038BB,44.64103993408304,47.07378378378378
0038BR,16.222489431691567,17.10885714285714
0038KO,17.67482844341641,18.294285714285714
0039BB,0.6010407640085614,72.075
0039BR,2.6822052494169792,25.9275
